vehicles_id,animals,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other
3c1v1w,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1c1w2mc1b,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
3c1T,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2c1f,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1c4i,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1w1B1b,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1c1u2B,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1c1w1o,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2b,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3c1p,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2u1w,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1a1T,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1c1w1s,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1u1v1T,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4c1B,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1c1u2w,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1c1w1t,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1T1o,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1c1n,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2c1w1mc,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1c5i,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1c1u1T1i,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1a1w1i,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2c1p,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1c1w3i,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
2u2w,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1a1v,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c2u1w,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2c1u1B,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2u2T,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3c1B,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1u1p1i,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1t1i,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1t1b,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2c1v1B,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1c2b,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1mc1b,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2c1w2p,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1c1i1o,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1w2b,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
1u1w1o,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1f2w,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1c1b1p,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1T2i,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
4b,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1c1u1w1i,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1u1x1o,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3c1mc,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3c1u1o,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1w3i,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
1c1B1i,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1mc1p,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2c2o,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1t2i,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
1c2u2w,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2a1w,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1c1w1mc1i,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2mc1i1o,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1c1v1i,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1c1u1v1o,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1w1mc1i,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
4c2w,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2c1b1o,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1v2i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2c1w1m,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2c1w3i,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
1f1T,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2c3u1T,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1u1w1T,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1v2T,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2c1w2i,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
1u1m,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2c1w1B,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1c1u1w1o,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1c1v2i,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6c1w,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1u2o,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3c1o,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1mc1T,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1c1v1T1B,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1c1w4o,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1c1u1x,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4u,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1T3i,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
1u1f1T,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1c1t1o,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1u2i1o,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1u2B,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1a2c,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1v2i1o,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1p1o,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1T1b1i,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1a1T1i,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1c2x,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2c1w1p,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2c1u1x,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2c1v1T,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1c2v1i,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2c1b,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1c1v1p,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1mc1x,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1c1u2i,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2c1s,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1u1v1i,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1T2i1o,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
1w1m,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1u3w,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
